"","aardvark","alligator","ant","anteater","antelope","ape","bear","bird","blue jay","cat","cheetah","chimpanzee","cow","crow","dog","dolphin","donkey","duck","eagle","elephant","ferret","fish","fox","frog","giraffe","goat","gorilla","hawk","horse","hummingbird","kangaroo","lemur","leopard","lion","lizard","monkey","mouse","orangutan","ostrich","panther","parrot","penguin","pig","polar bear","porcupine","rabbit","rat","raven","rhinoceros","snake","spider","squirrel","tiger","turtle","whale","wolf","worm","zebra"
"raven",0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364326208031464,-0.297559517855952,0,0,0,0,0,0,0,0,0,0,0,0,0.458333333333333,0,0.635416666666667,0,0,0,1,0,0,0.402339899383612,0,0,0,0,0,0,0
"rhinoceros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313164384590661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247593784236069,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.240728460242825,0,0,0
"snake",0,0.359494295458103,0,0,0,0,0,0.299183036802706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143356643356643,0,0.531085004543794,0,0,0,0,0,0,0,0,0,-0.409673245199351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.281437529905557,-0.199438170602397,0.121033648046685,0,0,0,-0.362880782454193
"spider",0,0,0.294017618780332,0,0,0,0,0,0.551441633735729,0.206896551724138,0,0,0,0,0.185695338177052,0,-0.267615465052524,0,0,-0.164682806372575,0.214625462533077,0,0.151619608715781,0,0,0,0,0,-0.442043322368492,0,0,0,0,0,0,0,0.121033648046685,0,0,0.214625462533077,0,0.46423834544263,0,0.402339899383612,0,0,0.277929117736832,0.402339899383612,0,0,1,0,0,0,0,0.310298550976256,0,0
"squirrel",0,0,0,0,0,0,0,0.170388550274119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366617787553383,0,0,0,0,0,0,0,0,0,-0.233314131314346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281437529905557,0,1,0,0,0,0,0,0
"tiger",0,-0.474608026875176,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.373408022407469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66009836198445,0,0,0,0,0,0,0.44097438717536,-0.0933520056018673,0,-0.315063018906302,0,0,0,0,0,-0.199438170602397,0,0,1,0,0,-0.622821104840731,0,0
"turtle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247593784236069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121033648046685,0,0,0,1,0,0,0,-0.49567091418845
"whale",0,0,0,0,0,0,0,0,0,0.393919298579168,0,0,0,0,0,0,0,-0.311085508419128,0,0.26403934479378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235702260395516,0,0,0,0,0,0,0,0,0,-0.245326690731329,0,0,-0.240728460242825,0,0,0,0,0,1,0,0,0
"wolf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393178549746392,0,0,0,0,-0.177821689789755,0,0,0,0,0,0,0,0,0,-0.210675242900096,-0.259463250038646,0,-0.347524023428458,0,0,0.0676263648697691,0,0,0,-0.287250233495347,0.221162934232346,0,0.423895623945329,-0.177821689789755,0,0.316776130179445,0,0,0,0.310298550976256,0,-0.622821104840731,0,0,1,0,0
"worm",0,0,0,0,0,0,0,0,0,0,0,0.366617787553383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0.247593784236069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"zebra",0,-0.247456698866216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.280975743474508,0,0,0,0,0,0,0,0,0,0.364246398192887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.362880782454193,0,0,0,-0.49567091418845,0,0,0,1
