id,group,condition,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1001,artists,uncommon,LINING,lining,SILVER,silver,0.55191,0.53165,0.76817,0.98715,0.77168,0.72211,-0.03576
1001,artists,free,POLISH,polish,SILVER,silver,0.7585,0.84454,0.84911,0.89344,0.8396,0.83704,0.10283
1001,artists,common,SHINING,shining,SILVER,silver,0.67953,0.70742,0.77033,0.68995,0.77732,0.72491,0.01818
1001,artists,common,DRESS,dress,SKIRT,skirt,0.38886,0.52903,0.51895,0.37976,0.35368,0.43406,-0.25245
1001,artists,free,DRESS,dress,SKIRT,skirt,0.38886,0.52903,0.51895,0.37976,0.35368,0.43406,-0.25245
1001,artists,uncommon,FIBER,fiber,SKIRT,skirt,0.85181,0.84217,0.86433,0.8795,0.89853,0.86727,0.14708
1001,artists,common,INTESTINE,intestine,STOMACH,stomach,0.47562,0.60851,0.4785,0.1217,0.43195,0.42326,-0.22338
1001,artists,free,KIDNEY,kidney,STOMACH,stomach,0.6941,0.74136,0.63576,0.9476,0.54942,0.71365,-0.03392
1001,artists,uncommon,SAUSAGE,sausage,STOMACH,stomach,0.67313,0.7874,0.82209,1.04323,0.82708,0.83059,0.06373
1001,artists,common,BENCH,bench,TABLE,table,0.57215,0.74514,0.81263,0.82605,0.68153,0.7275,-0.01077
1001,artists,free,BENCH,bench,TABLE,table,0.57215,0.74514,0.81263,0.82605,0.68153,0.7275,-0.01077
1001,artists,uncommon,MEAL,meal,TABLE,table,0.61839,0.70509,0.77039,0.66619,0.62586,0.67718,-0.02746
1001,artists,free,FINGER,finger,THUMB,thumb,0.48496,0.53331,0.45492,0.4294,0.31539,0.4436,-0.2407
1001,artists,common,HITCHHIKE,hitchhike,THUMB,thumb,0.90354,0.81557,0.93497,,0.8946,0.88717,0.18548
1001,artists,uncommon,NAIL,nail,THUMB,thumb,0.69914,0.809,0.76081,0.67772,0.7492,0.73917,0.03009
1001,artists,free,BAND,band,UNCLE,uncle,0.85415,1.01063,0.84864,0.99905,0.80153,0.9028,0.15492
1001,artists,common,FAMILY,family,UNCLE,uncle,0.51655,0.72457,0.63822,1.00374,0.54875,0.68637,-0.09347
1001,artists,uncommon,TELEVISION,television,UNCLE,uncle,0.87209,0.99912,0.92408,1.03592,0.86188,0.93862,0.19152
1001,artists,free,HAMMER,hammer,WRENCH,wrench,0.59016,0.64499,0.63789,0.54064,0.63911,0.61056,-0.08491
1001,artists,common,TOOL,tool,WRENCH,wrench,0.6553,0.65279,0.77495,0.50622,0.79741,0.67733,-6.50E-04
1001,artists,uncommon,WEAPON,weapon,WRENCH,wrench,0.72635,0.7462,0.78928,0.96905,0.8779,0.82176,0.07218
1001,artists,uncommon,HORSE,horse,ZEBRA,zebra,0.82469,0.85886,0.81179,0.93891,0.76546,0.83994,0.10733
1001,artists,common,STRIPE,stripe,ZEBRA,zebra,0.75339,0.71159,0.78833,0.94197,0.66749,0.77255,0.04295
1001,artists,free,STRIPE,stripe,ZEBRA,zebra,0.75339,0.71159,0.78833,0.94197,0.66749,0.77255,0.04295
1002,artists,uncommon,CAR,car,BUS,bus,0.54052,0.6057,0.61378,0.95017,0.43467,0.62897,-0.12709
1002,artists,common,TRANSPORTATION,transportation,BUS,bus,0.63867,0.66626,0.7029,0.78006,0.58681,0.67494,-0.0452
1002,artists,free,WHEEL,wheel,BUS,bus,0.75628,0.76101,0.87447,1.10103,0.70366,0.83929,0.08669
1002,artists,common,ANIMAL,animal,BUTTERFLY,butterfly,0.75252,0.88668,0.88374,1.06398,0.86279,0.88994,0.12683
1002,artists,uncommon,FLOWER,flower,BUTTERFLY,butterfly,0.62299,0.60427,0.71015,0.8893,0.65867,0.69708,-0.04036
1002,artists,free,MOVEMENT,movement,BUTTERFLY,butterfly,0.89791,0.8662,1.00698,1.07918,0.95595,0.96124,0.22312
1002,artists,common,SPOON,spoon,CAKE,cake,0.73027,0.80702,0.70379,0.74563,0.5138,0.7001,-0.0089
1002,artists,free,SPOON,spoon,CAKE,cake,0.73027,0.80702,0.70379,0.74563,0.5138,0.7001,-0.0089
1002,artists,uncommon,SPOON,spoon,CAKE,cake,0.73027,0.80702,0.70379,0.74563,0.5138,0.7001,-0.0089
1002,artists,uncommon,HORSE,horse,CELERY,celery,0.81323,0.89127,0.93415,0.99168,0.93038,0.91214,0.16938
1002,artists,free,LONG,long,CELERY,celery,0.81855,0.86301,0.86895,1.0286,0.99088,0.914,0.16055
1002,artists,common,VEGETABLE,vegetable,CELERY,celery,0.6806,0.56325,0.72155,0.69286,0.61283,0.65422,-0.0385
1002,artists,free,LEAF,leaf,FIR TREE,fir tree,0.88032,1.00938,1.0227,1.02918,0.93302,0.97492,0.23373
1002,artists,uncommon,OAK,oak,FIR TREE,fir tree,1.05836,0.97387,1.00115,1.01026,0.96708,1.00214,0.28839
1002,artists,common,WOOD,wood,FIR TREE,fir tree,0.9726,1.02706,1.04246,1.03214,0.96415,1.00768,0.27784
1002,artists,common,GUITAR,guitar,FLUTE,flute,0.53179,0.56111,0.586,0.46374,0.46771,0.52207,-0.15972
1002,artists,uncommon,INSTRUMENT,instrument,FLUTE,flute,0.57376,0.60221,0.64314,0.60344,0.50647,0.5858,-0.11221
1002,artists,free,TALE,tale,FLUTE,flute,0.84398,0.90801,0.88189,0.92496,0.8393,0.87963,0.15038
1002,artists,common,KNIFE,knife,FORK,fork,0.52347,0.50566,0.68017,0.74943,0.66998,0.62574,-0.0994
1002,artists,free,METAL,metal,FORK,fork,0.81194,0.80001,0.8943,0.87769,0.87944,0.85268,0.13347
1002,artists,uncommon,SPOON,spoon,FORK,fork,0.61051,0.47333,0.67343,0.57769,0.56146,0.57928,-0.10009
1002,artists,uncommon,JOB,job,HAIRDRESSER,hairdresser,0.6814,0.74887,0.835,1.04661,0.85075,0.83253,0.06911
1002,artists,free,SASSOON,sassoon,HAIRDRESSER,hairdresser,0.84206,0.67612,0.85366,1.03296,0.80012,0.84098,0.11143
1002,artists,common,SCISSOR,scissor,HAIRDRESSER,hairdresser,0.79087,0.89293,0.84434,0.7587,0.84205,0.82578,0.11306
1002,artists,uncommon,HOME DEPOT,home depot,JUICE,juice,0.99295,1.02781,1.06056,1.00121,1.01357,1.01922,0.29619
1002,artists,free,ORANGE,orange,JUICE,juice,0.41561,0.52275,0.71841,0.6863,0.52271,0.57316,-0.14902
1002,artists,common,WATER,water,JUICE,juice,0.6244,0.74202,0.74526,0.99988,0.64413,0.75114,-0.01019
1002,artists,common,FLOWER,flower,LILY,lily,0.63756,0.75968,0.62696,0.93038,0.59325,0.70957,-0.04729
1002,artists,uncommon,FLOWER,flower,LILY,lily,0.63756,0.75968,0.62696,0.93038,0.59325,0.70957,-0.04729
