id,group,condition,response,response_clean,item,item_clean,SemDis_MEAN,SemDis_factor
1002,artists,common,NOSE,nose,LIP,lip,0.64846,-0.10536
1002,artists,common,SAUCE,sauce,MUSTARD,mustard,0.6088,-0.09568
1002,artists,common,FRUIT,fruit,PINEAPPLE,pineapple,0.59625,-0.13551
1002,artists,common,DOG,dog,RABBIT,rabbit,0.67906,-0.13296
1002,artists,common,WINGS,wings,RAVEN,raven,0.73872,0.05321
1002,artists,common,FISH,fish,SALMON,salmon,0.37313,-0.29382
1002,artists,common,METAL,metal,SILVER,silver,0.67385,-0.05104
1002,artists,common,CLOTHING,clothing,SKIRT,skirt,0.72188,0.0095
1002,artists,common,LEGS,legs,STOMACH,stomach,0.72185,-0.06173
1002,artists,common,CHAIRS,chairs,TABLECLOTH,tablecloth,0.66695,-0.05028
1002,artists,common,HAND,hand,THUMB,thumb,0.53404,-0.14263
1002,artists,common,MOM,mom,UNCLE,uncle,0.70833,-0.07789
1002,artists,common,TOOLS,tools,WRENCH,wrench,0.75529,0.03472
1002,artists,common,ANIMAL,animal,ZEBRA,zebra,0.75249,0.03226
1002,artists,free,WHEELS,wheels,BUS,bus,0.85031,0.10841
1002,artists,free,MOVEMENT,movement,BUTTERFLY,butterfly,0.96124,0.22611
1002,artists,free,SPOON,spoon,CAKE,cake,0.7001,-0.01312
1002,artists,free,LONG,long,CELERY,celery,0.914,0.14908
1002,artists,free,LEAVES,leaves,FIR TREE,fir tree,0.96506,0.2421
1002,artists,free,TALE,tale,FLUTE,flute,0.87963,0.14462
1002,artists,free,METAL,metal,FORK,fork,0.85268,0.13331
1002,artists,free,SASSOON,sassoon,HAIRDRESSER,hairdresser,0.84098,0.11176
1002,artists,free,ORANGE,orange,JUICER,juicer,0.76001,0.03962
1002,artists,free,SKINNY,skinny,LILY,lily,0.89929,0.15169
1002,artists,free,BOXING,boxing,LIP,lip,0.97258,0.25528
1002,artists,free,PREPARATION,preparation,MUSTARD,mustard,0.91874,0.15701
1002,artists,free,NEW YEAR'S EVE,new years eve,PINEAPPLE,pineapple,1.01245,0.24787
1002,artists,free,WHITE,white,RABBIT,rabbit,0.84794,0.10864
1002,artists,free,RENT,rent,RAVEN,raven,1.00577,0.26237
1002,artists,free,BONES,bones,SALMON,salmon,0.92086,0.19404
1002,artists,free,MIRROR,mirror,SILVER,silver,0.84415,0.10145
1002,artists,free,DESIGN,design,SKIRT,skirt,0.85544,0.11062
1002,artists,free,ROUND,round,STOMACH,stomach,0.88599,0.12813
1002,artists,free,FELT,felt,TABLECLOTH,tablecloth,0.96608,0.21222
1002,artists,free,BRACELET,bracelet,THUMB,thumb,0.88904,0.13261
1002,artists,free,BLACK,black,UNCLE,uncle,0.8915,0.14178
1002,artists,free,MOTOR,motor,WRENCH,wrench,0.82117,0.09446
1002,artists,free,STRIPES,stripes,ZEBRA,zebra,0.71542,-0.01173
1002,artists,uncommon,CAR,car,BUS,bus,0.62897,-0.12425
1002,artists,uncommon,FLOWER,flower,BUTTERFLY,butterfly,0.69708,-0.0383
1002,artists,uncommon,SPOON,spoon,CAKE,cake,0.7001,-0.01312
1002,artists,uncommon,HORSE,horse,CELERY,celery,0.91214,0.16792
1002,artists,uncommon,OAK,oak,FIR TREE,fir tree,1.00214,0.27925
1002,artists,uncommon,INSTRUMENT,instrument,FLUTE,flute,0.5858,-0.10804
1002,artists,uncommon,SPOON,spoon,FORK,fork,0.57928,-0.09126
1002,artists,uncommon,JOB,job,HAIRDRESSER,hairdresser,0.83253,0.06968
1002,artists,uncommon,HOME DEPOT,home depot,JUICER,juicer,1.02441,0.29842
1002,artists,uncommon,FLOWER,flower,LILY,lily,0.70957,-0.05943
1002,artists,uncommon,NOSE,nose,LIP,lip,0.64846,-0.10536
1002,artists,uncommon,TIGHTS,tights,MUSTARD,mustard,0.89406,0.14304
1002,artists,uncommon,ORANGE,orange,PINEAPPLE,pineapple,0.70879,0.00127
1002,artists,uncommon,ANIMAL,animal,RABBIT,rabbit,0.68497,-0.08896
1002,artists,uncommon,RAVE,rave,RAVEN,raven,0.97592,0.21203
1002,artists,uncommon,FISH,fish,SALMON,salmon,0.37313,-0.29382
1002,artists,uncommon,GOLD,gold,SILVER,silver,0.26369,-0.406
1002,artists,uncommon,PANTS,pants,SKIRT,skirt,0.49516,-0.17968
1002,artists,uncommon,LEGS,legs,STOMACH,stomach,0.72185,-0.06173
1002,artists,uncommon,CHAIRS,chairs,TABLECLOTH,tablecloth,0.66695,-0.05028
1002,artists,uncommon,FINGER,finger,THUMB,thumb,0.4436,-0.24419
1002,artists,uncommon,BEEF,beef,UNCLE,uncle,0.93078,0.16454
1002,artists,uncommon,RENT,rent,WRENCH,wrench,0.95756,0.20013
1002,artists,uncommon,ANIMAL,animal,ZEBRA,zebra,0.75249,0.03226
1003,artists,common,CAR,car,BUS,bus,0.62897,-0.12425
1003,artists,common,INSECT,insect,BUTTERFLY,butterfly,0.5459,-0.13883
1003,artists,common,PIE,pie,CAKE,cake,0.52989,-0.15331
1003,artists,common,CARROT,carrot,CELERY,celery,0.53744,-0.19753
1003,artists,common,GREEN,green,FIR TREE,fir tree,0.93717,0.23191
1003,artists,common,MUSIC,music,FLUTE,flute,0.60068,-0.08433
1003,artists,common,SPOON,spoon,FORK,fork,0.57928,-0.09126
1003,artists,common,HAIRCUT,haircut,HAIRDRESSER,hairdresser,0.58596,-0.15834
1003,artists,common,THIRSTY,thirsty,JUICER,juicer,0.82234,0.12763
1003,artists,common,BLOSSOM,blossom,LILY,lily,0.7591,0.01044
1003,artists,common,MOUTH,mouth,LIP,lip,0.68326,-0.04724
1003,artists,common,KETCHUP,ketchup,MUSTARD,mustard,0.57433,-0.08329
1003,artists,common,FRUIT,fruit,PINEAPPLE,pineapple,0.59625,-0.13551
1003,artists,common,EASTER,easter,RABBIT,rabbit,0.82187,0.10572
1003,artists,common,BIRD,bird,RAVEN,raven,0.65962,-0.04625
1003,artists,common,FISH,fish,SALMON,salmon,0.37313,-0.29382
1003,artists,common,GOLD,gold,SILVER,silver,0.26369,-0.406
1003,artists,common,SHORTS,shorts,SKIRT,skirt,0.58656,-0.11106
1003,artists,common,FOOD,food,STOMACH,stomach,0.76304,0.05949
1003,artists,common,CHAIR,chair,TABLECLOTH,tablecloth,0.73108,0.02399
1003,artists,common,HAND,hand,THUMB,thumb,0.53404,-0.14263
1003,artists,common,AUNT,aunt,UNCLE,uncle,0.36253,-0.31397
1003,artists,common,TOOL,tool,WRENCH,wrench,0.67733,0.0027
1003,artists,common,STRIPE,stripe,ZEBRA,zebra,0.77255,0.04405
1003,artists,free,SUPERMAN,superman,BUS,bus,0.92253,0.18045
1003,artists,free,LOFT,loft,BUTTERFLY,butterfly,0.9069,0.16388
1003,artists,free,DRY,dry,CAKE,cake,0.85726,0.13449
1003,artists,free,WIRE,wire,CELERY,celery,0.92289,0.16497
1003,artists,free,SHADE,shade,FIR TREE,fir tree,1.00368,0.28336
1003,artists,free,THIRSTY,thirsty,FLUTE,flute,0.93508,0.17011
1003,artists,free,BITE,bite,FORK,fork,0.795,0.06781
1003,artists,free,PERM,perm,HAIRDRESSER,hairdresser,0.81365,0.06669
1003,artists,free,BACTERIA,bacteria,JUICER,juicer,0.88667,0.16074
1003,artists,free,WATER,water,LILY,lily,0.86648,0.13425
1003,artists,free,CUT,cut,LIP,lip,0.85015,0.1234
1003,artists,free,BITTER,bitter,MUSTARD,mustard,0.88681,0.12408
1003,artists,free,SPIKES,spikes,PINEAPPLE,pineapple,0.90498,0.13479
1003,artists,free,PELLET,pellet,RABBIT,rabbit,0.86224,0.10685
1003,artists,free,COLD,cold,RAVEN,raven,0.95314,0.18713
1003,artists,free,COT,cot,SALMON,salmon,0.97106,0.1805
1003,artists,free,TARNISH,tarnish,SILVER,silver,0.6958,0.0081
