id,item,response,group,condition
1003,LIP,MOUTH,artists,common
1003,MUSTARD,KETCHUP,artists,common
1003,PINEAPPLE,FRUIT,artists,common
1003,RABBIT,EASTER,artists,common
1003,RAVEN,BIRD,artists,common
1003,SALMON,FISH,artists,common
1003,SILVER,GOLD,artists,common
1003,SKIRT,SHORTS,artists,common
1003,STOMACH,FOOD,artists,common
1003,TABLECLOTH,CHAIR,artists,common
1003,THUMB,HAND,artists,common
1003,UNCLE,AUNT,artists,common
1003,WRENCH,TOOL,artists,common
1003,ZEBRA,STRIPE,artists,common
1003,BUS,SUPERMAN,artists,free
1003,BUTTERFLY,LOFT,artists,free
1003,CAKE,DRY,artists,free
1003,CELERY,WIRE,artists,free
1003,FIR TREE,SHADE,artists,free
1003,FLUTE,THIRSTY,artists,free
1003,FORK,BITE,artists,free
1003,HAIRDRESSER,PERM,artists,free
1003,JUICER,BACTERIA,artists,free
1003,LILY,WATER,artists,free
1003,LIP,CUT,artists,free
1003,MUSTARD,BITTER,artists,free
1003,PINEAPPLE,SPIKES,artists,free
1003,RABBIT,PELLET,artists,free
1003,RAVEN,COLD,artists,free
1003,SALMON,COT,artists,free
1003,SILVER,TARNISH,artists,free
1003,SKIRT,LEGS,artists,free
1003,STOMACH,INTESTINE,artists,free
1003,TABLECLOTH,DIRTY,artists,free
1003,THUMB,SCAN,artists,free
1003,UNCLE,BROTHER,artists,free
1003,WRENCH,TIGHT,artists,free
1003,ZEBRA,HABITAT,artists,free
1003,BUS,TRUCK,artists,uncommon
1003,BUTTERFLY,ORANGE,artists,uncommon
1003,CAKE,TOO,artists,uncommon
1003,CELERY,CARROT,artists,uncommon
1003,FIR TREE,MOUNTAIN,artists,uncommon
1003,FLUTE,MELODY,artists,uncommon
1003,FORK,SPOON,artists,uncommon
1003,HAIRDRESSER,SMELL,artists,uncommon
1003,JUICER,SWEET,artists,uncommon
1003,LILY,FLOWER,artists,uncommon
1003,LIP,BALM,artists,uncommon
1003,MUSTARD,KETCHUP,artists,uncommon
1003,PINEAPPLE,BLUE,artists,uncommon
1003,RABBIT,FURRY,artists,uncommon
1003,RAVEN,BLACK,artists,uncommon
1003,SALMON,STREAM,artists,uncommon
1003,SILVER,GOLD,artists,uncommon
1003,SKIRT,DRESS,artists,uncommon
1003,STOMACH,PAIN,artists,uncommon
1003,TABLECLOTH,CHAIR,artists,uncommon
1003,THUMB,PRINT,artists,uncommon
1003,UNCLE,AUNT,artists,uncommon
1003,WRENCH,HAMMER,artists,uncommon
1003,ZEBRA,STRIPE,artists,uncommon
1004,BUS,SCHOOL,artists,common
1004,BUTTERFLY,BEAUTIFUL,artists,common
1004,CAKE,EAT,artists,common
